0,1,2
19,15,5.025125628140704
15,12,5.025125628140704
12,11,5.025125628140704
11,10,5.025125628140704
10,5,5.025125628140704
5,4,5.025125628140704
4,6,5.025125628140704
6,9,5.025125628140704
9,6,5.025125628140704
6,7,5.025125628140704
7,7,5.025125628140704
7,6,5.025125628140704
6,6,5.025125628140704
6,8,5.025125628140704
8,5,5.025125628140704
5,5,5.025125628140704
5,8,5.025125628140704
8,8,5.025125628140704
8,7,5.025125628140704
7,6,5.025125628140704
6,7,5.025125628140704
7,3,5.025125628140704
3,2,5.025125628140704
2,4,5.025125628140704
4,4,5.025125628140704
4,9,5.025125628140704
9,8,5.025125628140704
8,8,5.025125628140704
8,11,5.025125628140704
11,11,5.025125628140704
11,11,5.025125628140704
11,11,5.025125628140704
11,12,5.025125628140704
12,9,5.025125628140704
9,11,5.025125628140704
11,9,5.025125628140704
9,9,5.025125628140704
9,11,5.025125628140704
11,9,5.025125628140704
9,9,5.025125628140704
9,7,5.025125628140704
7,8,5.025125628140704
8,10,5.025125628140704
10,9,5.025125628140704
9,7,5.025125628140704
7,8,5.025125628140704
8,8,5.025125628140704
8,3,5.025125628140704
3,4,5.025125628140704
4,5,5.025125628140704
5,8,5.025125628140704
8,8,5.025125628140704
8,8,5.025125628140704
8,8,5.025125628140704
8,7,5.025125628140704
7,9,5.025125628140704
9,7,5.025125628140704
7,6,5.025125628140704
6,6,5.025125628140704
6,8,5.025125628140704
8,11,5.025125628140704
11,6,5.025125628140704
6,8,5.025125628140704
8,8,5.025125628140704
8,8,5.025125628140704
8,8,5.025125628140704
8,7,5.025125628140704
7,7,5.025125628140704
7,5,5.025125628140704
5,5,5.025125628140704
5,9,5.025125628140704
9,8,5.025125628140704
8,7,5.025125628140704
7,7,5.025125628140704
7,8,5.025125628140704
8,8,5.025125628140704
8,8,5.025125628140704
8,10,5.025125628140704
10,9,5.025125628140704
9,8,5.025125628140704
8,10,5.025125628140704
10,10,5.025125628140704
10,7,5.025125628140704
7,5,5.025125628140704
5,6,5.025125628140704
6,7,5.025125628140704
7,9,5.025125628140704
9,11,5.025125628140704
11,9,5.025125628140704
9,8,5.025125628140704
8,5,5.025125628140704
5,3,5.025125628140704
3,5,5.025125628140704
5,3,5.025125628140704
3,6,5.025125628140704
6,6,5.025125628140704
6,4,5.025125628140704
4,4,5.025125628140704
4,6,5.025125628140704
6,9,5.025125628140704
9,6,5.025125628140704
6,11,5.025125628140704
11,11,5.025125628140704
11,11,5.025125628140704
11,8,5.025125628140704
8,5,5.025125628140704
5,5,5.025125628140704
5,9,5.025125628140704
9,11,5.025125628140704
11,12,5.025125628140704
12,8,5.025125628140704
8,9,5.025125628140704
9,9,5.025125628140704
9,8,5.025125628140704
8,8,5.025125628140704
8,9,5.025125628140704
9,8,5.025125628140704
8,10,5.025125628140704
10,8,5.025125628140704
8,8,5.025125628140704
8,9,5.025125628140704
9,7,5.025125628140704
7,11,5.025125628140704
11,10,5.025125628140704
10,8,5.025125628140704
8,8,5.025125628140704
8,6,5.025125628140704
6,7,5.025125628140704
7,9,5.025125628140704
9,9,5.025125628140704
9,8,5.025125628140704
8,7,5.025125628140704
7,7,5.025125628140704
7,7,5.025125628140704
7,7,5.025125628140704
7,7,5.025125628140704
7,8,5.025125628140704
8,9,5.025125628140704
9,9,5.025125628140704
9,7,5.025125628140704
7,7,5.025125628140704
7,5,5.025125628140704
5,5,5.025125628140704
5,8,5.025125628140704
8,9,5.025125628140704
9,10,5.025125628140704
10,8,5.025125628140704
8,9,5.025125628140704
9,11,5.025125628140704
11,10,5.025125628140704
10,9,5.025125628140704
9,9,5.025125628140704
9,7,5.025125628140704
7,6,5.025125628140704
6,5,5.025125628140704
5,6,5.025125628140704
6,5,5.025125628140704
5,5,5.025125628140704
5,10,5.025125628140704
10,7,5.025125628140704
7,5,5.025125628140704
5,6,5.025125628140704
6,8,5.025125628140704
8,8,5.025125628140704
8,9,5.025125628140704
9,8,5.025125628140704
8,7,5.025125628140704
7,11,5.025125628140704
11,11,5.025125628140704
11,10,5.025125628140704
10,9,5.025125628140704
9,5,5.025125628140704
5,9,5.025125628140704
9,8,5.025125628140704
8,7,5.025125628140704
7,7,5.025125628140704
7,10,5.025125628140704
10,8,5.025125628140704
8,9,5.025125628140704
9,10,5.025125628140704
10,8,5.025125628140704
8,8,5.025125628140704
8,7,5.025125628140704
7,8,5.025125628140704
8,7,5.025125628140704
7,8,5.025125628140704
8,9,5.025125628140704
9,9,5.025125628140704
9,8,5.025125628140704
8,8,5.025125628140704
8,7,5.025125628140704
7,7,5.025125628140704
7,6,5.025125628140704
6,8,5.025125628140704
8,8,5.025125628140704
8,7,5.025125628140704
7,6,5.025125628140704
6,9,5.025125628140704
9,11,5.025125628140704
11,11,5.025125628140704
11,10,5.025125628140704
