0,1,2
18,17,2.0408163265306123
17,16,2.0408163265306123
16,16,2.0408163265306123
16,15,2.0408163265306123
15,14,2.0408163265306123
14,12,2.0408163265306123
12,10,2.0408163265306123
10,8,2.0408163265306123
8,7,2.0408163265306123
7,7,2.0408163265306123
7,8,2.0408163265306123
8,8,2.0408163265306123
8,6,2.0408163265306123
6,6,2.0408163265306123
6,6,2.0408163265306123
6,6,2.0408163265306123
6,6,2.0408163265306123
6,5,2.0408163265306123
5,6,2.0408163265306123
6,8,2.0408163265306123
8,6,2.0408163265306123
6,7,2.0408163265306123
7,8,2.0408163265306123
8,8,2.0408163265306123
8,6,2.0408163265306123
6,6,2.0408163265306123
6,7,2.0408163265306123
7,7,2.0408163265306123
7,8,2.0408163265306123
8,8,2.0408163265306123
8,9,2.0408163265306123
9,7,2.0408163265306123
7,7,2.0408163265306123
7,7,2.0408163265306123
7,8,2.0408163265306123
8,8,2.0408163265306123
8,6,2.0408163265306123
6,7,2.0408163265306123
7,8,2.0408163265306123
8,8,2.0408163265306123
8,8,2.0408163265306123
8,8,2.0408163265306123
8,7,2.0408163265306123
7,8,2.0408163265306123
8,9,2.0408163265306123
9,8,2.0408163265306123
8,9,2.0408163265306123
9,9,2.0408163265306123
9,8,2.0408163265306123
8,7,2.0408163265306123
