0,1,2
19,15,2.0408163265306123
15,15,2.0408163265306123
15,14,2.0408163265306123
14,12,2.0408163265306123
12,12,2.0408163265306123
12,10,2.0408163265306123
10,10,2.0408163265306123
10,9,2.0408163265306123
9,9,2.0408163265306123
9,7,2.0408163265306123
7,7,2.0408163265306123
7,8,2.0408163265306123
8,9,2.0408163265306123
9,9,2.0408163265306123
9,8,2.0408163265306123
8,9,2.0408163265306123
9,10,2.0408163265306123
10,8,2.0408163265306123
8,8,2.0408163265306123
8,8,2.0408163265306123
8,9,2.0408163265306123
9,10,2.0408163265306123
10,8,2.0408163265306123
8,7,2.0408163265306123
7,6,2.0408163265306123
6,6,2.0408163265306123
6,8,2.0408163265306123
8,7,2.0408163265306123
7,6,2.0408163265306123
6,8,2.0408163265306123
8,7,2.0408163265306123
7,7,2.0408163265306123
7,7,2.0408163265306123
7,6,2.0408163265306123
6,6,2.0408163265306123
6,6,2.0408163265306123
6,8,2.0408163265306123
8,8,2.0408163265306123
8,9,2.0408163265306123
9,9,2.0408163265306123
9,9,2.0408163265306123
9,9,2.0408163265306123
9,7,2.0408163265306123
7,8,2.0408163265306123
8,7,2.0408163265306123
7,6,2.0408163265306123
6,6,2.0408163265306123
6,5,2.0408163265306123
5,8,2.0408163265306123
8,9,2.0408163265306123
