0,1,2
20,20,2.0408163265306123
20,16,2.0408163265306123
16,13,2.0408163265306123
13,11,2.0408163265306123
11,11,2.0408163265306123
11,11,2.0408163265306123
11,9,2.0408163265306123
9,9,2.0408163265306123
9,6,2.0408163265306123
6,6,2.0408163265306123
6,7,2.0408163265306123
7,6,2.0408163265306123
6,7,2.0408163265306123
7,7,2.0408163265306123
7,7,2.0408163265306123
7,8,2.0408163265306123
8,8,2.0408163265306123
8,7,2.0408163265306123
7,8,2.0408163265306123
8,7,2.0408163265306123
7,5,2.0408163265306123
5,4,2.0408163265306123
4,7,2.0408163265306123
7,7,2.0408163265306123
7,9,2.0408163265306123
9,7,2.0408163265306123
7,6,2.0408163265306123
6,7,2.0408163265306123
7,5,2.0408163265306123
5,6,2.0408163265306123
6,6,2.0408163265306123
6,7,2.0408163265306123
7,8,2.0408163265306123
8,7,2.0408163265306123
7,7,2.0408163265306123
7,9,2.0408163265306123
9,9,2.0408163265306123
9,6,2.0408163265306123
6,5,2.0408163265306123
5,7,2.0408163265306123
7,6,2.0408163265306123
6,7,2.0408163265306123
7,8,2.0408163265306123
8,9,2.0408163265306123
9,8,2.0408163265306123
8,8,2.0408163265306123
8,8,2.0408163265306123
8,6,2.0408163265306123
6,6,2.0408163265306123
6,7,2.0408163265306123
